data_instance	premise	ask-for	hypothesis1	hypothesis2	true_label	predicted_label
dev-425	The child eats cereals every day.	effect	He is healthy.	He was healthy.	1	0
dev-426	People there have no literacy.	effect	They can not understand the words on paper or wirte any words.	They can not write but they can read papers.	0	0
dev-427	The docter said that was just after image.	cause	Jack said he could see some spots in his field of vision.	The saint looked up to physical manifestation of deity.	0	1
dev-428	Tom is planning to rob the bank.	cause	Tom is always answering the phone.	Tom needs money.	1	1
dev-429	Tony uses his toothbrush twice a day.	effect	Tony's teeth are very healthy.	The minister's response is expected.	0	0
dev-430	The worker fainted for having food containing Terbium.	effect	The doctor gave him an injection of tranquilizer.	He was diagnoised as a  moderately toxic state.	1	0
dev-431	This dish has a strong aroma.	cause	This dish is steamed.	This dish is heavily spiced.	1	1
dev-432	He found many levels overlapped like petals.	cause	Tom is interested in the stems which are eusteles.	Tom stared at the nasturtium.	1	0
dev-433	Fox and rabbit in this stroy are in the place of people.	cause	This story belongs to a fable.	It is evening.	0	1
dev-434	Tom bought medicine for sties.	cause	The bacteria on Tom's hand infected tear ducts.	The pure water on Tom's hand infected tear ducts.	0	1
dev-435	The doctor found that her eye's clear lens to become cloudy blocking light.	cause	The boss is on the phone with the manager.	She got a cataract.	1	1
dev-436	This poor girl has suffered from leukemia.	cause	Basophils cause some allergic diseases.	The number of basophils in this poor girl is outside the bounds of normality.	1	1
dev-437	Usually the marble-like lumps of tissue of these patients are harmless.	cause	Part of the nutrients in the patient's body were depleted.	Many patients with fibroadenomas come for treatment in this hospital.	1	1
dev-438	Mary and her cow are pregnant in the same month.	effect	After nine months, she and her cow will give birth to babies.	After one month, she will give birth to babies but not her cow.	0	1
dev-439	He bought an avocado.	cause	He bought a booklet.	His mother asked him to buy a green vegetable.	1	1
dev-440	Telecommuning is widely employed by many companies due to the outbreak of epidemic.	effect	People stay at home working and communicating with colleagues.	People prefer to work in companies.	0	1
dev-441	They found that it produced the lactase.	cause	The doctor monitored the human body.	The researcher observed that compound leaves fall from the trees.	0	1
dev-442	Mary was one of the runner this time.	effect	Her face looks not as red as she just started jogging.	Mary participated in km tme trials.	1	1
dev-443	Tom hopes to build up his physique.	effect	He drinks a lot of probiotic juice.	He exercised for a long time.	0	1
dev-444	Susan took some doxycycline.	effect	She became more sensitive to the smell of flowers after a few hours.	She became more sensitive to the stimulation of the sun after a few hours.	1	1
dev-445	He expressed himself through dance.	cause	Tom is a dancer.	Mike wanted to feel what it felt like to move through the air.	0	0
dev-446	Tom is trying to make a plywood.	effect	He got some lancelets.	He is cutting a thin continous layer of wood off a log as it is spins around.	1	1
dev-447	The man deals with sales.	effect	Meeting people is part of his job.	He is part of the market.	1	1
dev-448	Tom's gas cooker won't work.	effect	His disease deteriorate slowly but continuously.	He started the fire with a piece of paper.	1	1
dev-449	This area is affected by the drought.	cause	Why there are little seagrasses here?	A long period passes without substantial rainfall in this area.	1	1
dev-450	The clothes of this brand sell well.	cause	The clothes of this brand are of good quality.	Owls have good night vision.	0	0
dev-451	He said he saw a hellhound running on the street.	effect	I knew he told a lie.	I believed what he said.	0	1
dev-452	Tom was eating the muskmelon.	effect	He felt the musk smell.	He felt thirsty.	0	0
dev-453	Tom got some zooids.	effect	The zookeeper fed them with water.	He uses them for tentacles research.	1	0
dev-454	Tom relinquished his citizenship of his motherland.	effect	Tom became a citizen of another country.	Conflicts between the natives and the immigrants increased.	0	0
dev-455	They dissected the ovaries in their anatomy class.	effect	They increased the size of the class.	By mistake, they dissected the kidney next to it.	1	0
dev-456	These strangers were vile intruders.	cause	These strangers invaded the farmers’ home.	These kids were playing in the park.	0	0
dev-457	We saw Vegetation.	cause	They did an experiment about aeration.	We came to the boundary of the wildlife habitat.	1	1
dev-458	The adhesives producing factory forgot to add rubber silicone acrylic into the its new products.	effect	These products didn't function as they used to do.	Tom goes to a chemist.	0	0
dev-459	This habitat has been occupied by them.	cause	Hedgehogs were rampant in this mountain.	There are a lot of donkeys in that area.	1	0
dev-460	The protagonist is growing.	effect	The plot changes with it.	He has to follow the change of atmosphere constantly.	0	0
dev-461	The photographer took use of proper light.	effect	He takes a perfect photo.	He created a environment similar to the general areas for other wide geckos.	0	0
dev-462	Astronauts wear spacesuits with lithium hydroxide canisters to work in space.	effect	Their exhaled carbon dioxide combines with lithium hydroxide to produce water and purify the air around them.	Spacesuits keep them from being affected by gravity.	0	1
dev-463	The mountain goat has strong hooves for running up the rocky slopes of the mountains.	cause	The mountain goat lives in the mountainous regions.	The development of some wolves is blocked.	0	0
dev-464	The zookeeper raised many animals.	effect	She has seen their growth in different times.	The zookeeper fed them with milk.	1	1
dev-465	Tom was a diabetic when he was 13.	effect	Doctor thinks Tom has insomnia.	He had impotence when he was 25.	1	1
dev-466	There is Nadolol as an effective choice in all his medicine.	cause	Jack is an optician.	My father has mild to moderate hypertension.	1	1
dev-467	Pycnidia grows around Tom's wound.	cause	Tom's wound is exposed to fungus.	Tom forgot to clean the infected area.	1	0
dev-468	Only those in certain ranges could see the tides.	cause	Great tides overwhelmed my sight.	The coast were filled with visitors for tides.	1	1
dev-469	Jim faces the stress of finding a job.	effect	He often gets cramps.	He is too distressed to sleep at night.	1	0
dev-470	Our teacher pointed out our thought was wrong.	cause	We were ready to go take some nice pictures.	We thought macromolecules were scant in cells.	1	1
dev-471	A stove is an enclosed space in which fuel is burned to provide heating.	effect	Its surfaces protect people from hurting.	The electrons tiny charged particles inside atoms carried the heat.	0	0
dev-472	Thunder appears in the sky at once.	cause	The clouds are very thick in the sky.	Lightning rapidly heats and expands the surrounding air.	1	1
dev-473	She blamed herself for failure to solve such a natural thing in child's development.	cause	Miss Li's managemant of her class was too strict.	Amy didn't deal with the tantrum of her son very well.	1	1
dev-474	He found the latter has a much wider ranges of distribution.	cause	The botanist specialized in vascular plants investigated bryohytes.	Tom looked at the arterioles with the naked eye and with a microscope.	0	0
dev-475	The room is cooling a little bit.	cause	Tom bought an oven.	Timothy brings some sulfates into the living room.	1	1
dev-476	The anole climbed out along the wall of the glass cabinet and ran away.	cause	Peter kept a anole in a glass cabinet.	The alien was blocked from water, air  and dust.	0	0
dev-477	Jack's mother learns that Jack has an appointment.	cause	Time goes on.	Jack's mother peeks at Jack's diary.	1	1
dev-478	Tom found a wooden bar to fire the paper.	effect	He started to produce heat with the friction of the bar.	He started to produce heat with the moisture of the bar.	0	1
dev-479	His mother gave him a ladybug.	cause	He told his mother that he wanted a beetle.	He needed a hard brittle lustrous dense transition metal of the platinum family.	0	0
dev-480	The results showed she was infected with streptococcus.	cause	Mary's white blood cell count was significantly lower.	The patient has been infected with hepatitis b virus.	0	0
dev-481	They  went to the theater.	effect	They were hungry.	They found it's a room surrounded by walls.	1	0
dev-482	She got the frequency of the sound.	cause	Madame Curie studied radium all her life.	My mentor calculated the number of recurring periodic waves in one second.	1	1
dev-483	Mary felt the extrusion of a mass through her vagina.	effect	The doctor told her it was a common physiological response.	The docter diagnoised her with prolapse.	1	1
dev-484	Lucy eats barley every day.	effect	She was healthy.	She keeps a healthy state.	1	1
dev-485	Scientists pick one out of thousands of breeds.	cause	The mathematician met a math problem.	Farmers want to grow sweeter oranges.	1	0
dev-486	He begins to bleed in the nose.	cause	Tom smokes all the year.	Eating lobsters makes Luke allergic.	1	0
dev-487	Tom gave his patient a barbiturates injection in order to relieve his pain during the operation.	effect	Tom was happy and perform in a better way.	The patient still suffered from serious pain.	1	1
dev-488	Alice gave Lucy a call.	effect	She told Lucy a lot of news.	Lucy was disfigured.	0	0
dev-489	Tom ate a lot of pots of brambles this year.	cause	Tom's crops were eaten by insects.	Tom sowed bramble seeds last year.	1	1
dev-490	They finally made a new mental containing titanium.	cause	The factory needed to improve the quality of production.	Scientists are studying a new type of material to make spacecraft.	1	1
dev-491	Jessy flattened the blanket on her bed.	effect	The colorful pillows of the blanket faces up.	The colorful surface of the blanket faces up.	1	1
dev-492	People on the street didn't get wet even without an umbrella.	cause	It has been hailing heavily outside for a few hours.	Too many international activities were held in this city.	0	0
dev-493	These two species benefit from their interaction.	effect	The environment becomes better.	They achieved Mutualism.	1	1
dev-494	Waterwheels satrted work efficiently.	effect	The mills can set to work.	The scientists have invented replacements.	0	0
dev-495	A biologist measured the amount of venom used by rattlesnakes.	effect	He got the quantity.	He found that its amount could be adjusted.	1	1
dev-496	Alice eats some health products containing antacids.	effect	Alice felt headache.	The painkillers he took before have failed.	1	0
dev-497	People can always recognize aardvark easily.	cause	The Aardwolf show its butt.	Aardvark always looks different from other sea creatures.	1	1
dev-498	The naughty boy knew his sistar hate animals with big mouths.	effect	He pulls out the spines that emit venom.	He caught a bass to scare her.	1	1
dev-499	Water is formed.	cause	A singly charged ion gains an electron.	Jack breaks down hydrogen peroxide.	1	1
dev-500	His skin was caustised.	cause	Tom often touches the tin bar without any protection.	Jack keeps frictioning his arm.	0	0
dev-501	Geese spend a lot of time staying in their nests.	effect	Geese build their nests carefully.	Geese usually build their nests near the water.	0	0
dev-502	As the environment deteriorates, the mass of the star decreases.	effect	It becomes less bright than before.	The same is true of galaxy clusters.	0	0
dev-503	The guide adviced the tourists to have a rest.	cause	The guide lead the tourists to climb the mountain.	The traffic was very busy on the city streets.	0	0
dev-504	They used several different materials.	cause	They are asked to make composites.	Their group was in charge of the gelatin Infiltration.	0	1
dev-505	Mike's parents sent Mike to learn decryption.	effect	They remained silent.	Mike learned to reverse the unintelligible data into meaningful data using a key.	1	1
dev-506	Tom has a peel.	effect	Since then, Tom's skin has become red.	His lung functions were seriously affected.	0	0
dev-507	Lucy has bought a professional book.	effect	She firstly gave a look at the guideline.	She extremely likes her trainer.	0	1
dev-508	Metals with high conductivity can be used to make wires.	effect	Copper, tin and aluminum are all good choices.	Machines become more effective using these materials.	0	0
dev-509	Lily has conflict with Lucy.	effect	Their friends mediate their conflicts.	Feeder attributes it to their frequent predation behavior.	0	0
dev-510	There are many dwarfism patients.	effect	Most of them have achondroplasia.	The number of pathogenic microorganisms increased rapidly.	0	0
dev-511	John was not armed.	effect	He picked up a stick.	He died.	0	1
dev-512	Plasmodium vivax malaria of one of them was passed to the other.	cause	Host switch occurred between the two patients.	Role switch occurred between the two patients.	0	0
dev-513	The criminal repeated his previous crime.	cause	This is a case of recidivism.	ADIS's doctor says ADIS's brain always unabated thinking.	0	0
dev-514	In an orchard, a photographer prepares to take a picture of papaya flowers.	effect	The grower tells the photographer to come back when the papayas are about one meter tall.	She thinks my health condition is not very good.	0	0
dev-515	Jack is an agronomist.	effect	He has separated many amino acids.	He studies the particular plant science concerning crop production.	1	1
dev-516	Many biologist went there for their rarity.	cause	He saw a native plant in the desert.	It is said that brachiopods appeared in that forest.	1	1
dev-517	She bought some meat as fodder.	cause	Mary drank some black tea.	She keeps some ringtails.	1	1
dev-518	John bought some kits.	effect	Their total weight is 100 ounces.	They are planted in the backyard.	0	0
dev-519	The protein expression will not be regulated in this case.	cause	Poison damages protein by destroying the peptides.	Poison is conducive to the peptides in protein.	0	0
dev-520	My father told me it was a pupae.	cause	Mike sat on the ground.	I didn't know what the small brown capsule was.	1	1
dev-521	We can see many stripes on their backs.	cause	Kudus are African animals.	Fans hit the laser on the face of the star.	0	0
dev-522	The blanket was dirty.	effect	He cleaned the surfaces.	He cleaned the inside of the blanket.	0	1
dev-523	The plankton bloom all died of the pollution.	effect	The manta was hungry.	Now we are confronted with the energy crisis.	0	1
dev-524	It was destroyed by large amounts of electrical energy.	cause	The plane was hit in thunderclouds.	This car was bombed.	0	1
dev-525	He can walk.	cause	Tom is four-month years old.	Tom eats some health products containing enzymes every day.	0	0
dev-526	I try to watch his behaviours.	cause	My dog was biting clippings.	I want judge her boyfriend.	1	1
dev-527	The metal was conducting electricity.	effect	It ran to other's areas.	The electrons tiny charged particles inside atoms carried the electricity.	1	1
dev-528	Cannibalism seems to have been acceptable in the earliest times.	cause	Prevalent phenomena are usually acceptable at that time.	Twenty years have passed since the massacre.	0	0
dev-529	Vegetarian don't eat meat.	effect	Hares wont eat meat.	It is harder for them to resist the warmth in winter.	0	0
dev-530	Many birds are flying to south these days.	cause	Humans produce lots of halons today.	Winter is coming.	1	1
dev-531	Mapel only sees a lot of light spots.	cause	The teacher asked students to list some kinds of large antelopes.	Mapel looked at the stars through a telescope.	1	1
dev-532	He found that it consists of many living parenchymatous cells.	cause	The researcher analyzed the nucellus into details.	John discovered some chondrites.	0	0
dev-533	The growth of Myceliums should be promised in Tom's experiment.	effect	They have done a lot of experiments.	Tom put the microorganism in suitable substrate.	1	1
dev-534	It was almosted destroyed.	cause	A traveler found a piece of yellow quartz.	The natural habitat was exploited a lot.	1	1
dev-535	She finds some hepaticas in the fields.	cause	Mother-in-law wants to plant some plants.	Luna wants to take pictures of some flowers in early spring.	1	0
dev-536	The government encourages students to learn knowledge.	effect	The teacher asks parents to provide books to their children.	Only in this way can students make an impact in the future.	1	1
dev-537	His parents told him not to be afraid of ravens.	cause	The clinical manifestations of wilson disease mainly are dyskinesia such as limb tremor, bradykinesia, gait instability and lmental symptoms such as lethargy, mental behavior changes.	The child described big black birds in his dream.	1	1
dev-538	She went to buy beets in the supermarket.	cause	The doctor told the pregnant woman to have food with high folic acid.	His mother asked him to buy a green vegetable.	0	0
dev-539	He was interest in painting.	effect	His favorite was the painting patterns.	He was experienced with painting.	0	0
dev-540	There are many areas in our country.	effect	They require development.	We can identify the, through their different characteristics.	1	1
dev-541	The prospect of the harvest looks bleak. .	cause	The annual precipitation of this region is up to 800 to 1200 mm.	There is no precipitation in this region. .	1	1
dev-542	Tom likes to eat tasteful fruit.	effect	Tom eats apples.	Tom often buys avocados.	1	0
dev-543	He is the deputy of the CEO.	effect	He builds frames.	He is responsible for the security of CEO.	1	1
dev-544	Scientists found that nocturnal insets and the flowers themsleves do great help.	cause	Wang is an expert of mechanics.	Scientists are studying pollination of flowers.	1	1
dev-545	His stomach mucosa was damaged.	cause	Tom ate a lot of spicy food.	The man had contact with the source of Psittacosis.	0	0
dev-546	The student majored in medicine had to choose a ressearch interest.	effect	He worked in the department of medicine.	He chose Psychiatry.	1	1
dev-547	My father is an acrobat.	effect	He tried to make my body highly stiff.	He tried to make my body highly plastic.	1	1
dev-548	Capitalism had a rapid development in this country.	effect	Two hundred people died.	Many factories which concentrated on production sprung up.	1	1
dev-549	There was a quake in the city.	effect	Many women died at that time.	The instrument detected the wave.	1	0
dev-550	I saw the baby guppies come out and swim away.	cause	I observed the whole process of guppies giving birth.	I watched guppies eat.	0	0
dev-551	The source of the toxins were exposed to a large amount of heat.	effect	They got poisoned.	It emited a lot highly toxic fumes.	1	1
dev-552	She is able to move body joints through a full range of motion.	cause	Linda has suffered from constipation for a week.	Mary's body is very flexibel.	1	1
dev-553	He hydrolyzed collagen by boiling skin ligaments tendons etc.	cause	Tom wanted to get some gelatine.	Tom is lack of platelets.	0	0
dev-554	There are water drops on the inner wall of the bag after the banana is ripe.	cause	Bananas help gastrointestinal motility.	Tom puts the bananas in the bag to ripen.	1	1
dev-555	Air saturation builds up.	effect	The night in the fall becomes longer.	The resistivity increases gradually.	1	1
dev-556	From its body can be seen the prosperity of the Song Dynasty.	cause	That piece of blue and white porcelain is fake.	That piece of blue and white porcelain dates from the Song Dynasty.	1	1
dev-557	The developing bud lost its protection.	cause	Snowflakes fell down in the humid weather.	Seapals were ruptured by naughty kids.	1	1
dev-558	He found warthogs.	cause	At night Tom explored the subterranean burrows often excavated by aardvarks.	Tom wants to make Ales by his own.	0	0
dev-559	Ensuring their nutrition is critical.	cause	Sheep still need to be outdoors in winter.	Some cuckoos are foraging for food.	0	0
dev-560	Bob read some related publications.	effect	He learned more details.	He got some overviews.	0	1
dev-561	He studied at what are quills made of.	effect	At last he knew they were made of modified hairs with a coat of keratin.	At last he knew they were made of silk.	0	1
dev-562	The Smiths live in Amazon.	effect	The elderly in the family are all over 90 years old.	They've had problems.	0	1
dev-563	Tom discovers that cubs live in different areas of the zoo depending on their genders.	cause	Tom has been studying animal living habits recently.	Tom visited the zoo.	1	1
dev-564	Juices are not as good as fruits.	cause	I hate vegetables.	Squeezing the juice out of the fruit diminishes the nutritions inside.	1	1
dev-565	After World War II, global governance has changed.	cause	After the Second World War, the population's standard of living and reactions changed.	Due to the Second World War, we need to change the way of governence.	0	0
dev-566	He substituted linseed oil for soybean oil.	cause	Tom is very careful about eating healthy.	The researcher needed a kind of addition compound.	0	1
dev-567	She likes their turquoise plumage especially.	cause	Lucy keeps a jackdaw at home.	Mary likes motmots very much.	1	0
dev-568	The old man wanted to keep healthy.	effect	The old man ate food that can purify his body.	His mom supervised him to exercise.	0	0
dev-569	I planted dogwoods in my garden.	effect	It thrived without competing with other various plants.	It thrived without being overwhelmed by other various plants.	1	1
dev-570	I think lotions are better.	cause	I want to lose weight and keep in good health at the same time.	I once used ointments.	1	1
dev-571	Attendants who are familiar with safety instructions are needed.	cause	Some cargos need to be unloaded from the freighters.	Customers should be informed of safety instructions.	1	1
dev-572	She could live her natural life span.	cause	Maxon officially became a gymnast.	The poor lady became our queen.	1	1
dev-573	Experts worry that the environmental protection policy on petroleum use will be aborted.	cause	The aquarium needs to create a natural landscape for the animals so that they can better adapt to the environment of the aquarium.	People have long been inseparable from petrochemicals such as plastics.	1	1
dev-574	My phone is fully charged.	effect	I can make calls now.	The phone can be used without electricity.	0	1
dev-575	Teeth show one of their characteristics.	cause	Rodents have special teeth.	Humans are vertebrates.	0	0
dev-576	John saw the criminal's face and told the police.	effect	The police got the criminal.	The police got John.	0	0
dev-577	Tom has many kinds of waterfowl in his farm.	effect	His hatchery can produce hundreds of millions of fertilized eggs every year.	Tom needs to prepare a variety of different feeds.	1	0
dev-578	He was forced by the landlord to do something.	cause	He is a relative to the landlord.	He is a slave to the landlord's family.	1	1
dev-579	He no longer has the ownership interest of the business enterprise.	cause	My husband owes a lot debts.	The boss made over all his equity in the company.	1	1
dev-580	There are a lot of carbon dioxide around it.	cause	The plastic was decompsed.	This village is beside a estuary.	0	1
dev-581	Mary wants to have a localized massage on her hands.	effect	The doctor tells her to do acupressure.	Mary explained that she was explaining causes.	0	0
dev-582	The doctor said she had an aging placenta.	cause	The examination data showed severe calcification.	The duck was sick.	0	1
dev-583	The government considers different environmental consequences.	cause	The government wants to make new laws to protect the wild life.	The citizens hope the government can build more ways.	1	1
dev-584	I saw swift shadows.	cause	Peregrines passed my sight.	I jumped on the trampoline.	0	1
dev-585	He picked up a lot of seashells.	cause	Tom has swum in the sea.	Tom wants to collect some remains of marine invertebrates.	1	1
dev-586	It ordered raw meat from the farm of cattles.	cause	This hamburger restaurant ran out of meat.	The supplier has a lot raw meat to process.	0	0
dev-587	She saw that most stags are dark brown with a prick on their neck.	cause	Lisa went to the zoo and saw the stag.	After eating too much food, she had a stomache.	0	0
dev-588	He is addicted to alcohol.	effect	He can't control his life.	He may die of alcohol poisoning.	0	1
dev-589	He earned a lot of mony this season compared with last one.	effect	He made a profit of three yuan.	His profit increased a lot.	1	1
dev-590	The bomb on the left exploded.	effect	Deflation occurs.	The bomb next to it exploded too.	1	1
dev-591	The doctor told William that his eyesight was gradually losing.	effect	The doctor used radiotherapy to treat William.	The doctor said he might lose his sight.	0	0
dev-592	The doctor takes a blood test on her.	cause	Courtney feels that she has a high level of carbon dioxide.	Courtney feels that she suffers from anemia.	0	1
dev-593	The ground was scattered with decaying fish.	effect	The air is full of the stink of decayed fish.	Dolphins there often get sick.	0	0
dev-594	They follow this rule in every mine areas.	cause	Their company has laid down a series of mining rules.	The bat wants to make friend with the mosquito.	0	0
dev-595	She bought various food containing proteins and so on.	cause	The queen was hungry.	The lady hoped her poodle can have enough nutrients.	1	0
dev-596	He didn't know which version to follow.	cause	Tom seached for relevant laws.	This machine lost its operator.	0	0
dev-597	Peter exposed a live circuit to a changing magnetic field.	effect	The state of the wire changes.	The sunlight was reflected.	0	0
dev-598	Tom went to the school lab and finished the studies.	cause	Tom wanted to do some studies.	Tom wrote a study on epiphytes.	0	0
dev-599	Explosives dissolve easily in water.	effect	The problem of invagination needs to be solved.	It difficult for scientists to extract the explosive molecules of explosives.	1	1
dev-600	Tom has suffered migraine for a long time.	effect	He felt dizzy yesterday.	He asked the doctor to gave him some depressants.	0	0
dev-601	They saw meerkats in South Africa.	effect	They were surprised by the cold weather.	They were surprised by its unique patterns.	1	0
dev-602	His foot was uncomfortable.	cause	Tom wore two left boots in the morning.	Tom was jogging on a hazy road.	0	0
dev-603	He analysed the composition of the soil.	effect	He discovered many different elements.	Stratification is formed.	0	1
dev-604	Overloading has caused serious consequences.	effect	He directly make deals with clients.	There are rules for penalizing such consequences.	1	1
dev-605	He was elected as officals in his county.	cause	Mike is a worker.	Mike is a sheriff.	1	1
dev-606	These plots are full of wheat.	cause	Tom has many adjacent plots.	Tom can't farm.	0	0
dev-607	The test showed that the deeper tissue has got the nourishment.	cause	He wiped those nourishment on the tissue.	They analyzed the cartilage.	0	0
dev-608	Larvaceans would handle more materials to make their houses more comfortable.	cause	Larvaceans are growing every day.	Rebuilding the house is the only thing that larvaceans can do every day.	0	1
dev-609	He is in debt now.	cause	Tom borrows money from his colleagues every day.	Tom borrowed a lot of money.	0	0
dev-610	Lucy recently has a diet.	effect	She usually eats Hamburgs.	She eats a lot of fruit instead of rice .	1	0
dev-611	His sensory organ developed very well.	cause	This boy was provided with enough toys in his childhood.	She had the symptom of apnea.	0	0
dev-612	Trogons built their home in a cavities.	cause	Trogons are good at finding cavities.	Trogons do not build nests.	0	1
dev-613	They all just grow corn.	cause	These fields are very dry.	This field is all monoculture.	1	1
dev-614	They have different functions.	cause	A large number of small bees live in hives.	There are many paths in the park.	1	0
dev-615	Tom's body is deficient in protein.	effect	The doctor advised him to eat more lean pork.	Tom likes eating bananas.	0	0
dev-616	These membranes are permeable.	effect	It can catch these waves more easily.	Exchanges can occur across them.	1	1
dev-617	Every one in the audience region is weeping or crying.	cause	Iron man is dying.	Tom's workers are on strike.	0	0
dev-618	The doctor found the level of carbon dioxide was too high.	cause	She had a blood routine examination.	The researcher inflated some carbon dioxide into the liquid.	0	1
dev-619	John wanted to raise a semi-hardy perennial.	effect	He collect durable wood.	He raised buttercups.	1	1
dev-620	A lady needed twigs to make an art work.	effect	She took the scissors to cut the shrubs.	The lady's desire was aroused.	0	0
dev-621	John is looking in the mirror.	effect	Tom can see Mary standing behind the mirror.	He found his eyes blue.	1	0
dev-622	He decided to buy some hemlocks.	cause	The house owner wanted some trees inside his house.	Tom used a thermometer to mearsure his temperature.	0	0
dev-623	The house was on fire and the people needed water to put it out.	effect	The water in it remained cool.	People came to the bay.	1	0
dev-624	He was confused when he faced options.	effect	He later suffered from neurosis.	He was confused about which career path to choose.	1	1
dev-625	Tom is a petrologist.	effect	Tom studies rocks as his analysis.	He can only sing in falsetto.	0	0
dev-626	I turn to the technology of my colleges.	cause	I have difficulty checking all the machines.	I need a yottabytes of memory.	0	0
dev-627	Beets dosen't grow well.	cause	The weather is hot throughout this year.	The water is hot throughout this year.	0	1
dev-628	The doctor diagnosed the spread of virus particles in the patient.	effect	The patient was in a dangerous state.	The doctor found that there were on all epithelial surfaces.	1	1
dev-629	The worker was poisoned.	cause	There is some waste.	The content of methanol in the new house overwhelmed the body's capacity.	1	0
dev-630	He found some dysprosium.	cause	He explored the metal coating of halogen lamps.	Sam camped out in the woods at night.	0	0
dev-631	Tony wanted to buy some food.	effect	He bought one hamburger in a McDonald's store.	The servers bring what he wants to eat in the restaurant.	0	0
dev-632	He grew up and became a well-known jeweler.	effect	Tom also has wrinkles at thirties.	He created a lot of fine jewelry.	1	1
dev-633	They have a strong desire to drink water.	cause	Ticks is sensitive to the smell of warm-blooded animals.	Those men are hikers.	1	1
dev-634	Barometers are needed.	cause	We have to measure its responsiveness.	Air pressure should be measured.	1	1
dev-635	A group of thiefs were caught.	effect	They returned home.	They handed in the stolen things.	1	1
dev-636	He composted the soil.	effect	He used it as a water container.	The pH of the soil gradually balances out.	1	1
dev-637	It is normal, what it eats have enough water.	cause	My grasshopper did not drink the water I prepared.	Green tea is a typical catabolic food.	0	0
dev-638	The machine has some functions similar to the human minds.	effect	It can identify some obvious patterns.	All signal transduction pathways can fulfill that function.	0	0
dev-639	The fuel compression was done.	cause	Tom put carbon monoxide together with compounds.	Tom squeezed all the fuel with the machine.	1	1
dev-640	John observes the way animals breathe.	effect	She observed them carefully.	He saw the diaphragm contract as the rabbit inhaled.	1	1
dev-641	My family called it toy.	cause	I bred this tiny dog as my pet.	I have witnessed their hospitality.	0	0
dev-642	The prey got into its mouth.	cause	The frogfish rushed to its prey.	The lizard met its prey.	0	1
dev-643	His friend yelled tom stepped in Crevasses.	cause	Tom and his friend went to the church last Sunday.	Tom stepped in narrow deep cracks in the glacier.	1	1
dev-644	The list shows that you used much water last month.	effect	They appear in summer and autumn.	I cleaned my whole house in and out during last month.	1	1
dev-645	It manages occurrence of data.	cause	He organized the data into tables.	This special organization is in charge of tracking.	1	1
dev-646	Synthetic resin smells toxic when burned.	effect	Tom's clothes made of polyester smell poisonous when burned.	The doctor suggested citizens to take some delarvirdines.	0	0
dev-647	Many insects are eaten by them.	cause	There are many sparrows in the orchard.	Human beings need nutritious food for their survival.	0	0
dev-648	He was bit by wasps.	effect	He studies plants.	He felt very painful.	1	1
dev-649	The baby bike could not bear his weight.	cause	My baby became a teenager.	My baby became much thinner.	0	1
dev-650	I found its interest.	cause	I had a hobby.	I had a budgie.	1	0
dev-651	Tom is an engineer.	effect	Tom designed different kinds of buildings.	He studies different kinds of structures.	1	0
dev-652	They are like living creatures.	cause	Those dolls look exactly like people.	The clocks are moving all the time.	1	0
dev-653	He prevented it from harm of mealybugs with great efforts.	cause	The gardener was hired to take care of my poinsettias.	He removed the ligaments.	0	1
dev-654	It turned out to be dynamics.	cause	Tom searched the Internet for the nature of loudness of an instrument.	Tommy's wheel was making a strange noise.	0	1
dev-655	The editor has left a special page for national news.	cause	This staff is good at arranging pages to be printed on the press.	It is important for people to know important events of the country every day.	1	0
dev-656	Tom was infected with pneumonia.	effect	The bacteria in his body became resistant to antibiotics.	Tom's family was worried about him.	1	0
dev-657	Tom fails the blood test.	cause	Tom has just had a wine.	Tom drew some blood to check his body.	0	1
dev-658	They climbed up to the peak of the hill.	effect	They have made holes in a steep slope that used to be thickly vegetated.	They felt the climate much colder than that at the foot of the hill.	1	1
dev-659	Tattoos can keep its color for a long time.	cause	I benefied from long term hair removal.	Color in a relatively permanent skin layer like the dermis would not fade soon.	1	1
dev-660	Kate's doctor prescribed a drug containing zinc.	cause	Kate is ill and will be treated.	Kate is suffering from thermal hyperalgesia.	1	1
dev-661	Some of the leaves on Tom's potted plants are getting old and dying.	effect	There are mildew spots on some leaves.	Tom finds that the leaves has been eaten after a while.	0	1
dev-662	Tom draws graphics by drawing pixels.	cause	Tom is from Brazil.	Tom wants to draw a digital image.	1	1
dev-663	She can heal small animals.	cause	The witch had telekinesis.	She is a witch.	1	1
dev-664	Kur is using a microscope to observe the growth of pollen tubes from the surface of pollen grains.	effect	Kur named it germination.	He drew some alkanes.	0	0
dev-665	Lucy didn't deliver a live baby.	cause	Lucy has suffered form infertility.	Lucy kept smoking while pregnant.	0	0
dev-666	The visibility was lower.	cause	There was a light rain in the polluted city.	The mountain is very humid due to frequent rains.	0	0
dev-667	The building is of low visibility in fog.	effect	Harvesters have their hands protected during harvesting time.	It can only be seen to a low degree.	1	1
dev-668	These adolescent boys haven't had any relationships yet.	effect	Masturbation never occurs.	Masturbation occurs frequently.	1	0
dev-669	Tom chooses kiwi to collect fructose.	cause	Food was used to treat my disease.	Tom wants to collect fructose.	1	1
dev-670	Tom goes to evergreen forest to find the bird.	cause	Tom wants to see a giraffe.	Tom wants to take photos of kinglets.	1	0
